country	ccode	year	month	day	coup	version
"Bolivia"	145	1959	4	19	1	"V2015.05.20"
"Bolivia"	145	1960	3	19	1	"V2015.05.20"
"Bolivia"	145	1964	11	3	2	"V2015.05.20"
"Bolivia"	145	1969	9	26	2	"V2015.05.20"
"Bolivia"	145	1970	10	6	2	"V2015.05.20"
"Bolivia"	145	1971	1	10	1	"V2015.05.20"
"Bolivia"	145	1971	8	22	2	"V2015.05.20"
"Bolivia"	145	1974	6	5	1	"V2015.05.20"
"Bolivia"	145	1978	7	21	2	"V2015.05.20"
"Bolivia"	145	1978	11	24	2	"V2015.05.20"
"Bolivia"	145	1979	10	11	1	"V2015.05.20"
"Bolivia"	145	1979	11	1	2	"V2015.05.20"
"Bolivia"	145	1980	7	17	2	"V2015.05.20"
"Bolivia"	145	1981	5	15	1	"V2015.05.20"
"Bolivia"	145	1981	5	25	1	"V2015.05.20"
"Bolivia"	145	1981	6	27	1	"V2015.05.20"
"Bolivia"	145	1981	8	3	2	"V2015.05.20"
"Bolivia"	145	1984	6	30	1	"V2015.05.20"
"Paraguay"	150	1954	5	5	2	"V2015.05.20"
"Paraguay"	150	1955	12	21	1	"V2015.05.20"
"Paraguay"	150	1989	2	3	2	"V2015.05.20"
"Paraguay"	150	2000	5	18	1	"V2015.05.20"
"Chile"	155	1973	6	29	1	"V2015.05.20"
"Chile"	155	1973	9	11	2	"V2015.05.20"
"Argentina"	160	1951	9	28	1	"V2015.05.20"
"Argentina"	160	1955	6	16	1	"V2015.05.20"
"Argentina"	160	1955	9	16	2	"V2015.05.20"
"Argentina"	160	1955	11	13	2	"V2015.05.20"
"Argentina"	160	1956	6	9	1	"V2015.05.20"
"Argentina"	160	1960	6	13	1	"V2015.05.20"
"Argentina"	160	1960	11	30	1	"V2015.05.20"
"Argentina"	160	1961	8	11	1	"V2015.05.20"
"Argentina"	160	1962	3	28	2	"V2015.05.20"
"Argentina"	160	1962	8	8	1	"V2015.05.20"
"Argentina"	160	1962	9	19	1	"V2015.05.20"
"Argentina"	160	1963	4	2	1	"V2015.05.20"
"Argentina"	160	1966	6	28	2	"V2015.05.20"
"Argentina"	160	1970	6	8	2	"V2015.05.20"
"Argentina"	160	1971	3	22	2	"V2015.05.20"
"Argentina"	160	1971	10	8	1	"V2015.05.20"
"Argentina"	160	1975	12	18	1	"V2015.05.20"
"Argentina"	160	1975	12	23	1	"V2015.05.20"
"Argentina"	160	1976	3	24	2	"V2015.05.20"
"Argentina"	160	1988	12	2	1	"V2015.05.20"
"Uruguay"	165	1973	2	10	2	"V2015.05.20"
"Uruguay"	165	1976	6	12	2	"V2015.05.20"
"Spain"	230	1981	2	23	1	"V2015.05.20"
"Portugal"	235	1962	1	1	1	"V2015.05.20"
"Portugal"	235	1974	4	25	2	"V2015.05.20"
"Portugal"	235	1975	3	11	1	"V2015.05.20"
"Portugal"	235	1975	11	25	1	"V2015.05.20"
"Greece"	350	1967	4	21	2	"V2015.05.20"
"Greece"	350	1967	12	13	1	"V2015.05.20"
"Greece"	350	1973	11	25	2	"V2015.05.20"
"Cyprus"	352	1974	7	15	2	"V2015.05.20"
"Russia"	365	1991	8	21	1	"V2015.05.20"
"Ukraine"	369	2014	2	22	2	"V2015.05.20"
"Azerbaijan"	373	1994	10	4	1	"V2015.05.20"
"Azerbaijan"	373	1995	3	13	1	"V2015.05.20"
"Sao Tome and Principe"	403	1995	8	15	1	"V2015.05.20"
"Sao Tome and Principe"	403	2003	7	16	2	"V2015.05.20"
"Guinea-Bissau"	404	1980	11	15	2	"V2015.05.20"
"Guinea-Bissau"	404	1998	6	7	1	"V2015.05.20"
"Guinea-Bissau"	404	1999	5	7	2	"V2015.05.20"
"Guinea-Bissau"	404	2000	11	23	1	"V2015.05.20"
"Guinea-Bissau"	404	2003	9	14	2	"V2015.05.20"
"Guinea Bissau"	404	2008	11	23	1	"V2015.05.20"
"Guinea-Bissau"	404	2010	4	1	1	"V2015.05.20"
"Guinea-Bissau"	404	2012	4	12	2	"V2015.05.20"
"Equatorial Guinea"	411	1969	3	5	1	"V2015.05.20"
"Equatorial Guinea"	411	1979	8	3	2	"V2015.05.20"
"Gambia"	420	1981	7	29	1	"V2015.05.20"
"Gambia"	420	1994	7	23	2	"V2015.05.20"
"Gambia"	420	1994	11	11	1	"V2015.05.20"
"Mali"	432	1968	11	19	2	"V2015.05.20"
"Mali"	432	1978	2	15	1	"V2015.05.20"
"Mali"	432	1991	3	26	2	"V2015.05.20"
"Mali"	432	1991	7	14	1	"V2015.05.20"
"Mali"	432	2012	3	22	2	"V2015.05.20"
"Mali"	432	2012	5	1	1	"V2015.05.20"
"Senegal"	433	1962	12	17	1	"V2015.05.20"
"Benin"	434	1963	10	28	2	"V2015.05.20"
"Benin"	434	1965	11	29	2	"V2015.05.20"
"Benin"	434	1965	12	22	2	"V2015.05.20"
"Benin"	434	1967	12	17	2	"V2015.05.20"
"Benin"	434	1969	12	10	2	"V2015.05.20"
"Benin"	434	1972	2	23	1	"V2015.05.20"
"Benin"	434	1972	10	26	2	"V2015.05.20"
"Benin"	434	1975	1	21	1	"V2015.05.20"
"Mauritania"	435	1978	7	10	2	"V2015.05.20"
"Mauritania"	435	1980	1	4	2	"V2015.05.20"
"Mauritania"	435	1982	2	6	1	"V2015.05.20"
"Mauritania"	435	1984	12	12	2	"V2015.05.20"
"Mauritania"	435	2003	6	8	1	"V2015.05.20"
"Mauritania"	435	2005	8	3	2	"V2015.05.20"
"Mauritania"	435	2008	8	6	2	"V2015.05.20"
"Niger"	436	1974	4	15	2	"V2015.05.20"
"Niger"	436	1976	3	15	1	"V2015.05.20"
"Niger"	436	1983	10	5	1	"V2015.05.20"
"Niger"	436	1996	1	27	2	"V2015.05.20"
"Niger"	436	1999	4	9	2	"V2015.05.20"
"Niger"	436	2010	2	18	2	"V2015.05.20"
"Ivory Coast"	437	1999	12	24	2	"V2015.05.20"
"Ivory Coast"	437	2000	9	18	1	"V2015.05.20"
"Ivory Coast"	437	2001	1	6	1	"V2015.05.20"
"Ivory Coast"	437	2002	9	19	1	"V2015.05.20"
"Guinea"	438	1984	4	3	2	"V2015.05.20"
"Guinea"	438	1985	7	4	1	"V2015.05.20"
"Guinea"	438	1996	2	3	1	"V2015.05.20"
"Guinea"	438	2008	12	23	2	"V2015.05.20"
"Guinea"	438	2011	7	19	1	"V2015.05.20"
"Burkina Faso"	439	1966	1	3	2	"V2015.05.20"
"Burkina Faso"	439	1974	2	8	2	"V2015.05.20"
"Burkina Faso"	439	1980	11	25	2	"V2015.05.20"
"Burkina Faso"	439	1982	11	7	2	"V2015.05.20"
"Burkina Faso"	439	1983	8	4	2	"V2015.05.20"
"Burkina Faso"	439	1987	10	15	2	"V2015.05.20"
"Burkina Faso"	439	2014	10	30	2	"V2015.05.20"
"Liberia"	450	1980	4	12	2	"V2015.05.20"
"Liberia"	450	1985	4	1	1	"V2015.05.20"
"Liberia"	450	1985	11	12	1	"V2015.05.20"
"Liberia"	450	1994	9	15	1	"V2015.05.20"
"Sierra Leone"	451	1967	3	21	1	"V2015.05.20"
"Sierra Leone"	451	1967	3	23	2	"V2015.05.20"
"Sierra Leone"	451	1968	4	18	2	"V2015.05.20"
"Sierra Leone"	451	1971	3	23	1	"V2015.05.20"
"Sierra Leone"	451	1987	3	23	1	"V2015.05.20"
"Sierra Leone"	451	1992	4	30	2	"V2015.05.20"
"Sierra Leone"	451	1992	12	29	1	"V2015.05.20"
"Sierra Leone"	451	1995	10	2	1	"V2015.05.20"
"Sierra Leone"	451	1996	1	16	2	"V2015.05.20"
"Sierra Leone"	451	1997	5	25	2	"V2015.05.20"
"Ghana"	452	1966	2	24	2	"V2015.05.20"
"Ghana"	452	1967	4	17	1	"V2015.05.20"
"Ghana"	452	1972	1	13	2	"V2015.05.20"
"Ghana"	452	1978	7	5	2	"V2015.05.20"
"Ghana"	452	1979	5	15	1	"V2015.05.20"
"Ghana"	452	1979	6	4	2	"V2015.05.20"
"Ghana"	452	1981	12	31	2	"V2015.05.20"
"Ghana"	452	1982	11	23	1	"V2015.05.20"
"Ghana"	452	1983	6	19	1	"V2015.05.20"
"Ghana"	452	1984	3	23	1	"V2015.05.20"
"Togo"	461	1963	1	13	2	"V2015.05.20"
"Togo"	461	1967	1	13	2	"V2015.05.20"
"Togo"	461	1991	10	1	1	"V2015.05.20"
"Togo"	461	1991	10	7	1	"V2015.05.20"
"Togo"	461	1991	11	28	1	"V2015.05.20"
"Togo"	461	1991	12	15	1	"V2015.05.20"
"Togo"	461	2005	2	5	2	"V2015.05.20"
"Cameroon"	471	1984	4	6	1	"V2015.05.20"
"Nigeria"	475	1966	1	15	2	"V2015.05.20"
"Nigeria"	475	1966	7	29	2	"V2015.05.20"
"Nigeria"	475	1975	7	29	2	"V2015.05.20"
"Nigeria"	475	1976	2	13	1	"V2015.05.20"
"Nigeria"	475	1983	12	31	2	"V2015.05.20"
"Nigeria"	475	1985	8	27	2	"V2015.05.20"
"Nigeria"	475	1990	4	22	1	"V2015.05.20"
"Nigeria"	475	1993	11	17	2	"V2015.05.20"
"Gabon"	481	1964	2	17	1	"V2015.05.20"
"Central African Republic"	482	1966	1	1	2	"V2015.05.20"
"Central African Republic"	482	1979	9	20	2	"V2015.05.20"
"Central African Republic"	482	1981	9	1	2	"V2015.05.20"
"Central African Republic"	482	2001	5	28	1	"V2015.05.20"
"Central African Republic"	482	2003	3	15	2	"V2015.05.20"
"Chad"	483	1975	4	13	2	"V2015.05.20"
"Chad"	483	1976	2	5	1	"V2015.05.20"
"Chad"	483	1977	4	1	1	"V2015.05.20"
"Chad"	483	1989	4	1	1	"V2015.05.20"
"Chad"	483	1991	10	13	1	"V2015.05.20"
"Chad"	483	1993	1	27	1	"V2015.05.20"
"Chad"	483	2006	4	13	1	"V2015.05.20"
"Congo"	484	1963	8	15	2	"V2015.05.20"
"Congo"	484	1966	6	27	1	"V2015.05.20"
"Congo"	484	1968	8	3	2	"V2015.05.20"
"Congo"	484	1968	8	30	2	"V2015.05.20"
"Congo"	484	1969	11	8	1	"V2015.05.20"
"Congo"	484	1970	3	22	1	"V2015.05.20"
"Congo"	484	1972	2	22	1	"V2015.05.20"
"Democratic Republic of the Congo"	490	1960	9	14	2	"V2015.05.20"
"Democratic Republic of the Congo"	490	1965	11	25	2	"V2015.05.20"
"Democratic Republic of the Congo"	490	2004	3	28	1	"V2015.05.20"
"Democratic Republic of the Congo"	490	2004	6	11	1	"V2015.05.20"
"Uganda"	500	1966	2	22	2	"V2015.05.20"
"Uganda"	500	1971	1	25	2	"V2015.05.20"
"Uganda"	500	1974	3	23	1	"V2015.05.20"
"Uganda"	500	1974	11	11	1	"V2015.05.20"
"Uganda"	500	1980	5	11	2	"V2015.05.20"
"Uganda"	500	1985	7	27	2	"V2015.05.20"
"Kenya"	501	1982	8	1	1	"V2015.05.20"
"Burundi"	516	1965	10	18	1	"V2015.05.20"
"Burundi"	516	1966	7	8	2	"V2015.05.20"
"Burundi"	516	1966	11	28	2	"V2015.05.20"
"Burundi"	516	1976	11	1	2	"V2015.05.20"
"Burundi"	516	1987	9	3	2	"V2015.05.20"
"Burundi"	516	1993	7	3	1	"V2015.05.20"
"Burundi"	516	1993	10	21	1	"V2015.05.20"
"Burundi"	516	1996	7	25	2	"V2015.05.20"
"Burundi"	516	2001	4	18	1	"V2015.05.20"
"Burundi"	516	2001	7	22	1	"V2015.05.20"
"Burundi"	516	2015	5	13	1	"V2015.05.20"
"Rwanda"	517	1973	7	5	2	"V2015.05.20"
"Rwanda"	517	1994	4	7	2	"V2015.05.20"
"Somalia"	520	1961	12	10	1	"V2015.05.20"
"Somalia"	520	1969	10	21	2	"V2015.05.20"
"Somalia"	520	1978	4	9	1	"V2015.05.20"
"Djibouti"	522	2000	12	7	1	"V2015.05.20"
"Ethiopia"	530	1960	12	14	1	"V2015.05.20"
"Ethiopia"	530	1961	12	14	1	"V2015.05.20"
"Ethiopia"	530	1974	9	12	2	"V2015.05.20"
"Ethiopia"	530	1977	2	3	2	"V2015.05.20"
"Ethiopia"	530	1989	5	16	1	"V2015.05.20"
"Angola"	540	1977	5	27	1	"V2015.05.20"
"Mozambique"	541	1975	12	17	1	"V2015.05.20"
"Zambia"	551	1980	10	16	1	"V2015.05.20"
"Zambia"	551	1990	6	30	1	"V2015.05.20"
"Zambia"	551	1997	10	28	1	"V2015.05.20"
"Lesotho"	570	1986	1	20	2	"V2015.05.20"
"Lesotho"	570	1991	4	30	2	"V2015.05.20"
"Lesotho"	570	1994	8	17	2	"V2015.05.20"
"Lesotho"	570	2014	8	30	1	"V2015.05.20"
"Swaziland"	572	1983	8	10	2	"V2015.05.20"
"Madagascar"	580	1974	12	31	1	"V2015.05.20"
"Madagascar"	580	1992	7	29	1	"V2015.05.20"
"Madagascar"	580	2009	3	17	2	"V2015.05.20"
"Madagascar"	580	2010	11	17	1	"V2015.05.20"
"Comoros"	581	1975	8	3	2	"V2015.05.20"
"Comoros"	581	1978	5	12	2	"V2015.05.20"
"Comoros"	581	1985	3	8	1	"V2015.05.20"
"Comoros"	581	1987	11	30	1	"V2015.05.20"
"Comoros"	581	1989	11	26	2	"V2015.05.20"
"Comoros"	581	1991	8	3	1	"V2015.05.20"
"Comoros"	581	1992	9	26	1	"V2015.05.20"
"Comoros"	581	1999	4	30	2	"V2015.05.20"
"Comoros"	581	2000	3	21	1	"V2015.05.20"
"Seychelles"	591	1977	6	5	2	"V2015.05.20"
"Morocco"	600	1971	7	10	1	"V2015.05.20"
"Morocco"	600	1972	8	16	1	"V2015.05.20"
"Algeria"	615	1964	6	30	1	"V2015.05.20"
"Algeria"	615	1965	6	19	2	"V2015.05.20"
"Algeria"	615	1967	12	14	1	"V2015.05.20"
"Algeria"	615	1992	1	11	2	"V2015.05.20"
"Tunisia"	616	1987	11	7	2	"V2015.05.20"
"Libya"	620	1969	9	1	2	"V2015.05.20"
"Libya"	620	1975	8	5	1	"V2015.05.20"
"Libya"	620	1993	10	23	1	"V2015.05.20"
"Sudan"	625	1955	8	18	1	"V2015.05.20"
"Sudan"	625	1958	11	17	2	"V2015.05.20"
"Sudan"	625	1959	5	21	1	"V2015.05.20"
"Sudan"	625	1959	11	9	1	"V2015.05.20"
"Sudan"	625	1966	12	18	1	"V2015.05.20"
"Sudan"	625	1966	12	28	1	"V2015.05.20"
"Sudan"	625	1969	5	25	2	"V2015.05.20"
"Sudan"	625	1971	7	19	1	"V2015.05.20"
"Sudan"	625	1975	9	5	1	"V2015.05.20"
"Sudan"	625	1976	7	2	1	"V2015.05.20"
"Sudan"	625	1977	2	3	1	"V2015.05.20"
"Sudan"	625	1985	4	6	2	"V2015.05.20"
"Sudan"	625	1989	6	30	2	"V2015.05.20"
"Sudan"	625	2012	11	22	1	"V2015.05.20"
"Iran"	630	1953	8	13	2	"V2015.05.20"
"Turkey"	640	1960	5	27	2	"V2015.05.20"
"Turkey"	640	1962	2	22	1	"V2015.05.20"
"Turkey"	640	1963	5	20	1	"V2015.05.20"
"Turkey"	640	1971	3	12	2	"V2015.05.20"
"Turkey"	640	1980	9	10	2	"V2015.05.20"
"Iraq"	645	1958	7	14	2	"V2015.05.20"
"Iraq"	645	1959	3	7	1	"V2015.05.20"
"Iraq"	645	1963	2	8	2	"V2015.05.20"
"Iraq"	645	1963	11	18	2	"V2015.05.20"
"Iraq"	645	1965	9	16	1	"V2015.05.20"
"Iraq"	645	1966	6	30	1	"V2015.05.20"
"Iraq"	645	1968	7	17	2	"V2015.05.20"
"Iraq"	645	1970	1	20	1	"V2015.05.20"
"Iraq"	645	1973	6	30	1	"V2015.05.20"
"Iraq"	645	1991	9	23	1	"V2015.05.20"
"Iraq"	645	1992	6	15	1	"V2015.05.20"
"Iraq"	645	1995	6	15	1	"V2015.05.20"
"Egypt"	651	1952	7	23	2	"V2015.05.20"
"Egypt"	651	1954	2	27	2	"V2015.05.20"
"Egypt"	651	2011	2	11	2	"V2015.05.20"
"Egypt"	651	2013	7	3	2	"V2015.05.20"
"Syria"	652	1951	11	29	2	"V2015.05.20"
"Syria"	652	1954	2	25	2	"V2015.05.20"
"Syria"	652	1961	9	28	2	"V2015.05.20"
"Syria"	652	1962	3	28	2	"V2015.05.20"
"Syria"	652	1963	3	8	2	"V2015.05.20"
"Syria"	652	1963	7	18	1	"V2015.05.20"
"Syria"	652	1966	2	23	2	"V2015.05.20"
"Syria"	652	1966	9	8	1	"V2015.05.20"
"Syria"	652	1969	3	1	2	"V2015.05.20"
"Syria"	652	1970	11	13	2	"V2015.05.20"
"Syria"	652	1982	1	31	1	"V2015.05.20"
"Lebanon"	660	1961	12	31	1	"V2015.05.20"
"Lebanon"	660	1976	3	12	1	"V2015.05.20"
"Jordan"	663	1957	4	13	1	"V2015.05.20"
"Jordan"	663	1958	7	1	1	"V2015.05.20"
"Yemen Arab Republic; N. Yemen"	678	1955	4	2	1	"V2015.05.20"
"Yemen Arab Republic; N. Yemen"	678	1962	9	27	2	"V2015.05.20"
"Yemen Arab Republic; N. Yemen"	678	1967	11	4	2	"V2015.05.20"
"Yemen Arab Republic; N. Yemen"	678	1974	6	13	2	"V2015.05.20"
"Yemen Arab Republic; N. Yemen"	678	1978	10	15	1	"V2015.05.20"
"Yemen People's Republic; S. Yemen"	680	1968	3	20	1	"V2015.05.20"
"Yemen People's Republic; S. Yemen"	680	1968	8	31	1	"V2015.05.20"
"Yemen People's Republic; S. Yemen"	680	1978	6	26	2	"V2015.05.20"
"Yemen People's Republic; S. Yemen"	680	1986	1	13	2	"V2015.05.20"
"Qatar"	694	1972	2	22	2	"V2015.05.20"
"Qatar"	694	1995	6	27	2	"V2015.05.20"
"Qatar"	694	1996	2	20	1	"V2015.05.20"
"United Arab Emirates"	696	1972	1	25	1	"V2015.05.20"
"United Arab Emirates"	696	1987	6	16	1	"V2015.05.20"
"Oman"	698	1970	7	26	2	"V2015.05.20"
"Afghanistan"	700	1973	7	17	2	"V2015.05.20"
"Afghanistan"	700	1978	4	27	2	"V2015.05.20"
"Afghanistan"	700	1990	3	7	1	"V2015.05.20"
"Afghanistan"	700	1992	4	15	2	"V2015.05.20"
"South Korea"	732	1961	5	16	2	"V2015.05.20"
"Pakistan"	770	1958	10	27	2	"V2015.05.20"
"Pakistan"	770	1971	12	19	2	"V2015.05.20"
"Pakistan"	770	1977	7	5	2	"V2015.05.20"
"Pakistan"	770	1999	10	12	2	"V2015.05.20"
"Bangladesh"	771	1975	8	15	2	"V2015.05.20"
"Bangladesh"	771	1975	11	7	2	"V2015.05.20"
"Bangladesh"	771	1977	10	2	1	"V2015.05.20"
"Bangladesh"	771	1981	5	30	1	"V2015.05.20"
"Bangladesh"	771	1982	3	24	2	"V2015.05.20"
"Bangladesh"	771	1996	5	20	1	"V2015.05.20"
"Myanmar"	775	1958	9	26	2	"V2015.05.20"
"Myanmar"	775	1962	3	2	2	"V2015.05.20"
"Myanmar"	775	1976	7	2	1	"V2015.05.20"
"Myanmar"	775	1988	9	18	2	"V2015.05.20"
"Maldives"	781	2012	2	7	2	"V2015.05.20"
"Thailand"	800	1951	6	29	1	"V2015.05.20"
"Thailand"	800	1951	11	29	2	"V2015.05.20"
"Thailand"	800	1957	9	16	2	"V2015.05.20"
"Thailand"	800	1958	10	20	2	"V2015.05.20"
"Thailand"	800	1976	10	6	2	"V2015.05.20"
"Thailand"	800	1977	3	26	1	"V2015.05.20"
"Thailand"	800	1977	10	20	2	"V2015.05.20"
"Thailand"	800	1981	4	1	1	"V2015.05.20"
"Thailand"	800	1985	9	9	1	"V2015.05.20"
"Thailand"	800	1991	2	23	2	"V2015.05.20"
"Thailand"	800	2006	9	19	2	"V2015.05.20"
"Thailand"	800	2014	5	22	2	"V2015.05.20"
"Cambodia"	811	1970	3	18	2	"V2015.05.20"
"Cambodia"	811	1978	5	15	1	"V2015.05.20"
"Cambodia"	811	1997	7	5	2	"V2015.05.20"
"Laos"	812	1960	8	9	2	"V2015.05.20"
"Laos"	812	1960	12	8	2	"V2015.05.20"
"Laos"	812	1964	4	19	2	"V2015.05.20"
"Laos"	812	1965	1	31	1	"V2015.05.20"
"Laos"	812	1965	3	28	1	"V2015.05.20"
"Laos"	812	1965	4	16	1	"V2015.05.20"
"Laos"	812	1966	10	21	1	"V2015.05.20"
"Laos"	812	1973	8	20	1	"V2015.05.20"
"Republic of Vietnam"	817	1960	11	11	1	"V2015.05.20"
"Republic of Vietnam"	817	1963	11	1	2	"V2015.05.20"
"Republic of Vietnam"	817	1964	1	30	2	"V2015.05.20"
"Republic of Vietnam"	817	1964	9	13	1	"V2015.05.20"
"Republic of Vietnam"	817	1965	1	27	2	"V2015.05.20"
"Republic of Vietnam"	817	1965	2	19	1	"V2015.05.20"
"Republic of Vietnam"	817	1965	6	11	2	"V2015.05.20"
"Philippines"	840	1986	7	6	1	"V2015.05.20"
"Philippines"	840	1987	1	27	1	"V2015.05.20"
"Philippines"	840	1987	8	27	1	"V2015.05.20"
"Philippines"	840	1989	12	1	1	"V2015.05.20"
"Philippines"	840	1990	10	4	1	"V2015.05.20"
"Indonesia"	850	1965	10	1	1	"V2015.05.20"
"Indonesia"	850	1966	3	12	2	"V2015.05.20"
"Papua New Guinea"	910	1990	3	14	1	"V2015.05.20"
"Papua New Guinea"	910	2012	1	26	1	"V2015.05.20"
"Fiji"	950	1987	5	14	2	"V2015.05.20"
"Fiji"	950	2000	5	29	2	"V2015.05.20"
"Fiji"	950	2006	12	5	2	"V2015.05.20"
